"Title","Latitude","Longitude","Description","LocalPath"
"1d00000978_20250823_160000_Delay+4s_1024x768_Cam00_00.jpg",31.1272064,35.345104,"ID: 1d00000978 | UTC: 2025-08-23 16:00:00","C:/tmp/github/stork-log-photos/1d00000978_20250823_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000978_20250825_060000_Delay+4s_1024x768_Cam00_00.jpg",28.2313216,33.1644672,"ID: 1d00000978 | UTC: 2025-08-25 06:00:00","C:/tmp/github/stork-log-photos/1d00000978_20250825_060000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250804_140000_Delay+4s_1024x768_Cam00_00.jpg",50.3939136,17.8960288,"ID: 1d00000979 | UTC: 2025-08-04 14:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250804_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250805_080000_Delay+4s_1024x768_Cam00_00.jpg",50.4009568,17.8878576,"ID: 1d00000979 | UTC: 2025-08-05 08:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250805_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250808_160000_Delay+4s_1024x768_Cam00_00.jpg",50.40096,17.8878752,"ID: 1d00000979 | UTC: 2025-08-08 16:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250808_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250809_160000_Delay+4s_1024x768_Cam00_00.jpg",50.4009504,17.8878944,"ID: 1d00000979 | UTC: 2025-08-09 16:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250809_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250811_080000_Delay+4s_1024x768_Cam00_00.jpg",50.4142496,17.8717952,"ID: 1d00000979 | UTC: 2025-08-11 08:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250811_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250813_100000_Delay+4s_1024x768_Cam00_00.jpg",49.8500416,19.3356576,"ID: 1d00000979 | UTC: 2025-08-13 10:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250813_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250815_080000_Delay+4s_1024x768_Cam00_00.jpg",47.7642432,23.2507456,"ID: 1d00000979 | UTC: 2025-08-15 08:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250815_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250815_140000_Delay+4s_1024x768_Cam00_00.jpg",47.0538432,24.6564096,"ID: 1d00000979 | UTC: 2025-08-15 14:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250815_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250816_100000_Delay+5s_1024x768_Cam00_00.jpg",46.526544,24.9841168,"ID: 1d00000979 | UTC: 2025-08-16 10:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250816_100000_Delay+5s_1024x768_Cam00_00.jpg"
"1d00000979_20250816_160000_Delay+4s_1024x768_Cam00_00.jpg",45.9958816,25.5686,"ID: 1d00000979 | UTC: 2025-08-16 16:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250816_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d00000979_20250816_180000_Delay+5s_1024x768_Cam00_00 (1).jpg",45.997264,25.5701872,"ID: 1d00000979 | UTC: 2025-08-16 18:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250816_180000_Delay+5s_1024x768_Cam00_00 (1).jpg"
"1d00000979_20250816_180000_Delay+5s_1024x768_Cam00_00.jpg",45.997264,25.5701872,"ID: 1d00000979 | UTC: 2025-08-16 18:00:00","C:/tmp/github/stork-log-photos/1d00000979_20250816_180000_Delay+5s_1024x768_Cam00_00.jpg"
